STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
New Jersey,8.3,10.4,54932.0,2002
New Mexico,17.7,25.2,34827.0,2002
New York,13.9,20.2,42765.0,2002
North Carolina,12.9,17.4,38194.0,2002
North Dakota,11.1,13.8,36223.0,2002
Ohio,10.2,13.5,42246.0,2002
Oklahoma,14.5,20.3,35313.0,2002
Oregon,11.3,15.1,41796.0,2002
Pennsylvania,10.0,14.0,42043.0,2002
Rhode Island,11.0,16.1,43115.0,2002
South Carolina,14.0,19.4,37442.0,2002
South Dakota,12.4,16.0,36966.0,2002
Tennessee,13.6,18.6,37129.0,2002
Texas,15.4,21.3,40063.0,2002
Utah,9.7,10.9,46165.0,2002
Vermont,9.3,11.5,41962.0,2002
Virginia,9.6,12.5,48224.0,2002
Washington,10.3,13.6,46399.0,2002
West Virginia,16.1,24.3,30695.0,2002
Wisconsin,8.5,10.9,45377.0,2002
Wyoming,10.6,13.5,39772.0,2002
Alabama,15.3,22.3,36131.0,2003
Alaska,9.8,12.5,52391.0,2003
Arizona,13.9,20.6,41963.0,2003
Arkansas,16.0,23.6,33445.0,2003
California,13.7,19.5,48440.0,2003
Colorado,10.0,12.8,49248.0,2003
Connecticut,8.0,10.5,56409.0,2003
Delaware,9.0,13.0,48770.0,2003
Florida,13.0,19.4,38985.0,2003
Georgia,13.4,19.1,42421.0,2003
Hawaii,10.8,14.6,48274.0,2003
Idaho,11.7,15.9,39859.0,2003
Illinois,11.4,15.6,47367.0,2003
Indiana,10.0,13.7,43323.0,2003
Iowa,9.1,12.3,42278.0,2003
Kansas,10.4,13.8,43113.0,2003
Kentucky,15.0,21.1,36663.0,2003
Louisiana,18.1,26.6,33792.0,2003
Maine,10.7,14.3,39212.0,2003
Maryland,8.8,11.5,54302.0,2003
Massachusetts,9.5,11.9,52713.0,2003
Michigan,11.0,15.0,46291.0,2003
Minnesota,8.0,10.2,50750.0,2003
Mississippi,18.3,26.8,32397.0,2003
Missouri,11.6,16.5,40870.0,2003
Montana,14.2,19.9,34449.0,2003
Nebraska,9.9,12.9,41984.0,2003
Nevada,11.0,15.3,45249.0,2003
New Hampshire,6.4,7.8,52409.0,2003
New Jersey,8.9,11.8,56356.0,2003
New Mexico,17.7,25.8,35091.0,2003
New York,14.3,20.2,44139.0,2003
North Carolina,13.4,19.1,39438.0,2003
North Dakota,10.5,13.4,38223.0,2003
Ohio,10.7,15.4,43119.0,2003
Oklahoma,14.7,21.1,35634.0,2003
Oregon,12.0,17.4,42593.0,2003
Pennsylvania,10.6,14.9,42952.0,2003
Rhode Island,11.3,16.6,45006.0,2003
South Carolina,13.8,19.8,38003.0,2003
South Dakota,12.3,16.5,38008.0,2003
Tennessee,13.5,19.2,37925.0,2003
Texas,16.2,22.8,39967.0,2003
Utah,10.0,12.5,46709.0,2003
Vermont,9.2,11.9,42649.0,2003
Virginia,10.0,13.6,50028.0,2003
Washington,11.0,15.3,48185.0,2003
West Virginia,16.3,24.3,32967.0,2003
Wisconsin,8.9,12.4,46538.0,2003
Wyoming,10.8,14.6,41554.0,2003
Alabama,16.1,22.6,37062.0,2004
Alaska,10.0,12.9,52141.0,2004
Arizona,14.6,21.5,43696.0,2004
Arkansas,15.6,22.7,35295.0,2004
California,13.2,18.7,49894.0,2004
Colorado,10.2,12.8,50105.0,2004
Connecticut,9.1,11.4,56617.0,2004
Delaware,9.6,13.4,49545.0,2004
Florida,11.9,17.3,40900.0,2004
Georgia,13.7,19.4,42679.0,2004
Hawaii,9.0,10.8,51359.0,2004
Idaho,11.5,15.1,40509.0,2004
Illinois,11.9,16.7,47711.0,2004
Indiana,11.1,15.7,43217.0,2004
Iowa,10.5,13.1,42865.0,2004
Kansas,11.1,14.6,41664.0,2004
Kentucky,16.3,22.2,37046.0,2004
Louisiana,19.2,27.4,35216.0,2004
Maine,11.5,14.3,41287.0,2004
Maryland,9.2,11.1,57019.0,2004
Massachusetts,9.9,12.8,53657.0,2004
Michigan,12.5,17.3,44409.0,2004
Minnesota,8.1,10.6,51202.0,2004
Mississippi,19.3,28.6,34278.0,2004
Missouri,13.0,18.5,40885.0,2004
Montana,13.6,18.5,35574.0,2004
Nebraska,10.0,12.8,42166.0,2004
Nevada,11.1,15.3,47231.0,2004
New Hampshire,6.6,8.8,53377.0,2004
New Jersey,8.4,10.2,57338.0,2004
New Mexico,16.7,23.8,37838.0,2004
New York,14.5,20.8,45343.0,2004
North Carolina,13.8,18.7,40863.0,2004
North Dakota,10.8,13.5,39233.0,2004
Ohio,11.7,16.8,43371.0,2004
Oklahoma,14.0,20.2,37109.0,2004
Oregon,12.9,17.3,42568.0,2004
Pennsylvania,11.2,16.0,43714.0,2004
Rhode Island,11.6,17.4,47037.0,2004
South Carolina,15.0,21.2,39454.0,2004
South Dakota,12.9,17.9,39265.0,2004
Tennessee,15.0,20.1,38945.0,2004
Texas,16.2,22.7,41645.0,2004
Utah,10.3,12.4,47224.0,2004
Vermont,8.7,10.6,44548.0,2004
Virginia,9.5,12.2,51103.0,2004
Washington,11.6,15.8,48438.0,2004
West Virginia,16.2,22.6,33993.0,2004
Wisconsin,10.9,14.9,46142.0,2004
Wyoming,10.3,13.7,43785.0,2004
Alabama,16.9,24.3,36936.0,2005
Alaska,10.8,14.2,55477.0,2005
Arizona,14.4,20.9,44402.0,2005
Arkansas,17.2,25.0,35041.0,2005
California,13.3,18.5,53627.0,2005
Colorado,10.9,14.0,50841.0,2005
Connecticut,8.3,11.4,60840.0,2005
Delaware,10.3,14.4,52508.0,2005
Florida,12.8,18.1,42437.0,2005
Georgia,14.5,20.3,45564.0,2005
