,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
317,ROCK COUNTY,Minnesota,2019,2.4
318,MEEKER COUNTY,Minnesota,2019,3.6
319,TRAVERSE COUNTY,Minnesota,2019,3.3
320,MURRAY COUNTY,Minnesota,2019,3.8
321,MORRISON COUNTY,Minnesota,2019,4.8
322,STEELE COUNTY,Minnesota,2019,3.1
323,WASECA COUNTY,Minnesota,2019,4.2
324,SAINT LOUIS COUNTY,Minnesota,2019,3.8
325,RICE COUNTY,Minnesota,2019,2.9
326,WATONWAN COUNTY,Minnesota,2019,3.6
327,YELLOW MEDICINE COUNTY,Minnesota,2019,3.1
328,REDWOOD COUNTY,Minnesota,2019,3.7
329,STEVENS COUNTY,Minnesota,2019,2.4
330,NOBLES COUNTY,Minnesota,2019,2.7
331,TODD COUNTY,Minnesota,2019,4.0
332,PIPESTONE COUNTY,Minnesota,2019,3.0
333,WINONA COUNTY,Minnesota,2019,2.7
334,NICOLLET COUNTY,Minnesota,2019,2.3
335,WILKIN COUNTY,Minnesota,2019,3.1
336,WADENA COUNTY,Minnesota,2019,5.4
337,MCLEOD COUNTY,Minnesota,2019,3.2
338,MARSHALL COUNTY,Minnesota,2019,6.0
339,WRIGHT COUNTY,Minnesota,2019,3.1
340,MOWER COUNTY,Minnesota,2019,2.8
341,WABASHA COUNTY,Minnesota,2019,3.1
342,POLK COUNTY,Minnesota,2019,3.8
343,RAMSEY COUNTY,Minnesota,2019,2.8
344,ROSEAU COUNTY,Minnesota,2019,3.5
345,POPE COUNTY,Minnesota,2019,2.7
346,MILLE LACS COUNTY,Minnesota,2019,5.0
347,WASHINGTON COUNTY,Minnesota,2019,2.6
348,RENVILLE COUNTY,Minnesota,2019,4.1
349,SCOTT COUNTY,Minnesota,2019,2.6
350,OLMSTED COUNTY,Minnesota,2019,2.4
351,SIBLEY COUNTY,Minnesota,2019,3.3
352,BECKER COUNTY,Minnesota,2018,3.7
353,CARLTON COUNTY,Minnesota,2018,4.2
354,LAC QUI PARLE COUNTY,Minnesota,2018,3.7
355,DOUGLAS COUNTY,Minnesota,2018,2.9
356,COOK COUNTY,Minnesota,2018,3.5
357,ISANTI COUNTY,Minnesota,2018,3.8
358,BIG STONE COUNTY,Minnesota,2018,3.9
359,KITTSON COUNTY,Minnesota,2018,3.0
360,CASS COUNTY,Minnesota,2018,5.3
361,LINCOLN COUNTY,Minnesota,2018,3.1
362,COTTONWOOD COUNTY,Minnesota,2018,3.7
363,BENTON COUNTY,Minnesota,2018,3.6
364,KOOCHICHING COUNTY,Minnesota,2018,6.3
365,BLUE EARTH COUNTY,Minnesota,2018,2.6
366,BELTRAMI COUNTY,Minnesota,2018,4.2
367,CARVER COUNTY,Minnesota,2018,2.5
368,BROWN COUNTY,Minnesota,2018,3.5
369,HENNEPIN COUNTY,Minnesota,2018,2.6
370,AITKIN COUNTY,Minnesota,2018,5.8
371,GRANT COUNTY,Minnesota,2018,4.1
372,KANABEC COUNTY,Minnesota,2018,5.6
373,LYON COUNTY,Minnesota,2018,2.9
374,FILLMORE COUNTY,Minnesota,2018,3.2
375,CROW WING COUNTY,Minnesota,2018,4.1
376,DODGE COUNTY,Minnesota,2018,3.1
377,LAKE OF THE WOODS COUNTY,Minnesota,2018,3.9
378,CHISAGO COUNTY,Minnesota,2018,3.5
379,ITASCA COUNTY,Minnesota,2018,5.6
380,CLEARWATER COUNTY,Minnesota,2018,8.3
381,JACKSON COUNTY,Minnesota,2018,3.0
382,FARIBAULT COUNTY,Minnesota,2018,3.6
383,DAKOTA COUNTY,Minnesota,2018,2.6
384,CHIPPEWA COUNTY,Minnesota,2018,3.3
385,CLAY COUNTY,Minnesota,2018,3.0
386,LE SUEUR COUNTY,Minnesota,2018,4.2
387,HUBBARD COUNTY,Minnesota,2018,5.1
388,FREEBORN COUNTY,Minnesota,2018,3.3
389,LAKE COUNTY,Minnesota,2018,3.2
390,HOUSTON COUNTY,Minnesota,2018,3.0
391,GOODHUE COUNTY,Minnesota,2018,2.8
392,KANDIYOHI COUNTY,Minnesota,2018,3.0
393,ANOKA COUNTY,Minnesota,2018,2.9
395,RED LAKE COUNTY,Minnesota,2018,6.7
396,NORMAN COUNTY,Minnesota,2018,4.7
397,MARTIN COUNTY,Minnesota,2018,3.5
398,SWIFT COUNTY,Minnesota,2018,4.1
399,PENNINGTON COUNTY,Minnesota,2018,5.7
400,OTTER TAIL COUNTY,Minnesota,2018,4.0
401,SHERBURNE COUNTY,Minnesota,2018,3.8
402,STEARNS COUNTY,Minnesota,2018,3.4
403,MAHNOMEN COUNTY,Minnesota,2018,5.1
404,PINE COUNTY,Minnesota,2018,5.8
405,ROCK COUNTY,Minnesota,2018,2.1
406,MEEKER COUNTY,Minnesota,2018,4.1
407,TRAVERSE COUNTY,Minnesota,2018,3.6
408,MURRAY COUNTY,Minnesota,2018,4.4
409,MORRISON COUNTY,Minnesota,2018,5.4
410,STEELE COUNTY,Minnesota,2018,3.4
411,WASECA COUNTY,Minnesota,2018,3.9
412,SAINT LOUIS COUNTY,Minnesota,2018,4.7
413,RICE COUNTY,Minnesota,2018,3.2
414,WATONWAN COUNTY,Minnesota,2018,4.4
415,YELLOW MEDICINE COUNTY,Minnesota,2018,3.5
416,REDWOOD COUNTY,Minnesota,2018,4.1
417,STEVENS COUNTY,Minnesota,2018,2.7
418,NOBLES COUNTY,Minnesota,2018,3.2
419,TODD COUNTY,Minnesota,2018,4.0
420,PIPESTONE COUNTY,Minnesota,2018,3.4
421,WINONA COUNTY,Minnesota,2018,3.1
422,NICOLLET COUNTY,Minnesota,2018,2.6
423,WILKIN COUNTY,Minnesota,2018,3.1
424,WADENA COUNTY,Minnesota,2018,5.6
425,MCLEOD COUNTY,Minnesota,2018,3.8
426,MARSHALL COUNTY,Minnesota,2018,7.0
427,WRIGHT COUNTY,Minnesota,2018,3.6
428,MOWER COUNTY,Minnesota,2018,2.8
429,WABASHA COUNTY,Minnesota,2018,3.4
430,POLK COUNTY,Minnesota,2018,4.2
431,RAMSEY COUNTY,Minnesota,2018,3.3
432,ROSEAU COUNTY,Minnesota,2018,4.9
433,POPE COUNTY,Minnesota,2018,3.1
434,MILLE LACS COUNTY,Minnesota,2018,5.6
