,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
502,Watonwan County                 ,Minnesota,2017,4.9
503,Yellow Medicine County          ,Minnesota,2017,3.8
504,Redwood County                  ,Minnesota,2017,4.1
505,Stevens County                  ,Minnesota,2017,3.0
506,Nobles County                   ,Minnesota,2017,3.8
507,Todd County                     ,Minnesota,2017,4.7
508,Pipestone County                ,Minnesota,2017,3.8
509,Winona County                   ,Minnesota,2017,3.5
510,Nicollet County                 ,Minnesota,2017,2.8
511,Wilkin County                   ,Minnesota,2017,3.3
512,Wadena County                   ,Minnesota,2017,5.9
513,McLeod County                   ,Minnesota,2017,4.4
514,Marshall County                 ,Minnesota,2017,7.3
515,Wright County                   ,Minnesota,2017,3.9
516,Mower County                    ,Minnesota,2017,3.2
517,Wabasha County                  ,Minnesota,2017,3.7
518,Polk County                     ,Minnesota,2017,4.3
519,Ramsey County                   ,Minnesota,2017,3.6
520,Roseau County                   ,Minnesota,2017,5.1
521,Pope County                     ,Minnesota,2017,3.6
522,Mille Lacs County               ,Minnesota,2017,6.0
523,Washington County               ,Minnesota,2017,3.3
524,Renville County                 ,Minnesota,2017,5.3
525,Scott County                    ,Minnesota,2017,3.2
526,Olmsted County,Minnesota,2017,3.0
527,Sibley County                   ,Minnesota,2017,4.3
528,Becker County                   ,Minnesota,2016,4.6
529,Carlton County                  ,Minnesota,2016,5.3
530,Lac qui Parle County            ,Minnesota,2016,4.3
531,Douglas County                  ,Minnesota,2016,3.5
532,Cook County                     ,Minnesota,2016,4.6
533,Isanti County                   ,Minnesota,2016,4.7
534,Big Stone County                ,Minnesota,2016,4.8
535,Kittson County                  ,Minnesota,2016,4.6
536,Cass County                     ,Minnesota,2016,6.8
537,Lincoln County                  ,Minnesota,2016,3.6
538,Cottonwood County               ,Minnesota,2016,7.2
539,Benton County                   ,Minnesota,2016,4.4
540,Koochiching County              ,Minnesota,2016,8.5
541,Blue Earth County               ,Minnesota,2016,3.2
542,Beltrami County                 ,Minnesota,2016,5.2
543,Carver County                   ,Minnesota,2016,3.3
544,Brown County                    ,Minnesota,2016,4.2
545,Hennepin County                 ,Minnesota,2016,3.3
546,Aitkin County                   ,Minnesota,2016,7.0
547,Grant County                    ,Minnesota,2016,4.7
548,Kanabec County                  ,Minnesota,2016,6.5
549,Lyon County                     ,Minnesota,2016,3.6
550,Fillmore County                 ,Minnesota,2016,4.0
551,Crow Wing County                ,Minnesota,2016,5.1
552,Dodge County                    ,Minnesota,2016,3.7
553,Lake of the Woods County        ,Minnesota,2016,4.8
554,Chisago County                  ,Minnesota,2016,4.3
555,Itasca County                   ,Minnesota,2016,8.5
556,Clearwater County               ,Minnesota,2016,9.6
557,Jackson County                  ,Minnesota,2016,4.5
558,Faribault County                ,Minnesota,2016,4.4
559,Dakota County                   ,Minnesota,2016,3.4
560,Chippewa County                 ,Minnesota,2016,4.5
561,Clay County                     ,Minnesota,2016,3.4
562,Le Sueur County                 ,Minnesota,2016,4.9
563,Hubbard County                  ,Minnesota,2016,6.5
564,Freeborn County                 ,Minnesota,2016,3.8
565,Lake County                     ,Minnesota,2016,6.4
566,Houston County                  ,Minnesota,2016,3.9
