COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
Saint Louis County              ,Minnesota,2020,4.0
Rice County                     ,Minnesota,2020,3.1
Watonwan County                 ,Minnesota,2020,4.1
Yellow Medicine County          ,Minnesota,2020,3.8
Redwood County                  ,Minnesota,2020,3.7
Stevens County                  ,Minnesota,2020,2.7
Nobles County                   ,Minnesota,2020,3.0
Todd County                     ,Minnesota,2020,4.4
Pipestone County                ,Minnesota,2020,3.5
Winona County                   ,Minnesota,2020,2.9
Nicollet County                 ,Minnesota,2020,2.6
Wilkin County                   ,Minnesota,2020,3.4
Wadena County                   ,Minnesota,2020,6.2
McLeod County                   ,Minnesota,2020,3.7
Marshall County                 ,Minnesota,2020,5.9
Wright County                   ,Minnesota,2020,3.3
Mower County                    ,Minnesota,2020,3.0
Wabasha County                  ,Minnesota,2020,3.4
Polk County                     ,Minnesota,2020,4.0
Ramsey County                   ,Minnesota,2020,3.0
Roseau County                   ,Minnesota,2020,3.9
Pope County                     ,Minnesota,2020,3.1
Mille Lacs County               ,Minnesota,2020,5.5
Washington County               ,Minnesota,2020,2.8
Renville County                 ,Minnesota,2020,4.6
Scott County                    ,Minnesota,2020,2.8
Olmsted County,Minnesota,2020,2.6
Sibley County                   ,Minnesota,2020,3.9
Becker County                   ,Minnesota,2019,4.0
Carlton County                  ,Minnesota,2019,4.5
Lac qui Parle County            ,Minnesota,2019,3.8
Douglas County                  ,Minnesota,2019,3.2
Cook County                     ,Minnesota,2019,4.3
Isanti County                   ,Minnesota,2019,4.1
Big Stone County                ,Minnesota,2019,4.2
Kittson County                  ,Minnesota,2019,3.7
Cass County                     ,Minnesota,2019,5.6
Lincoln County                  ,Minnesota,2019,3.8
Cottonwood County               ,Minnesota,2019,3.7
Benton County                   ,Minnesota,2019,3.9
Koochiching County              ,Minnesota,2019,6.3
Blue Earth County               ,Minnesota,2019,2.8
Beltrami County                 ,Minnesota,2019,4.3
Carver County                   ,Minnesota,2019,2.8
Brown County                    ,Minnesota,2019,3.6
Hennepin County                 ,Minnesota,2019,2.8
Aitkin County                   ,Minnesota,2019,6.2
Grant County                    ,Minnesota,2019,4.5
Kanabec County                  ,Minnesota,2019,5.9
Lyon County                     ,Minnesota,2019,3.2
Fillmore County                 ,Minnesota,2019,3.3
Crow Wing County                ,Minnesota,2019,4.4
Dodge County                    ,Minnesota,2019,3.4
Lake of the Woods County        ,Minnesota,2019,4.2
Chisago County                  ,Minnesota,2019,3.8
Itasca County                   ,Minnesota,2019,6.0
Clearwater County               ,Minnesota,2019,8.3
Jackson County                  ,Minnesota,2019,3.5
Faribault County                ,Minnesota,2019,4.2
Dakota County                   ,Minnesota,2019,2.9
Chippewa County                 ,Minnesota,2019,3.9
Clay County                     ,Minnesota,2019,3.1
Le Sueur County                 ,Minnesota,2019,4.5
Hubbard County                  ,Minnesota,2019,5.4
Freeborn County                 ,Minnesota,2019,3.5
Lake County                     ,Minnesota,2019,3.6
Houston County                  ,Minnesota,2019,3.2
Goodhue County                  ,Minnesota,2019,3.1
Kandiyohi County                ,Minnesota,2019,3.5
Anoka County                    ,Minnesota,2019,3.1
Red Lake County                 ,Minnesota,2019,5.3
Norman County                   ,Minnesota,2019,4.4
Martin County                   ,Minnesota,2019,3.2
Swift County                    ,Minnesota,2019,3.7
Pennington County               ,Minnesota,2019,4.3
Otter Tail County               ,Minnesota,2019,3.7
Sherburne County                ,Minnesota,2019,3.2
Stearns County                  ,Minnesota,2019,3.0
Mahnomen County                 ,Minnesota,2019,4.7
Pine County                     ,Minnesota,2019,5.0
Rock County                     ,Minnesota,2019,2.4
Meeker County                   ,Minnesota,2019,3.6
Traverse County                 ,Minnesota,2019,3.3
Murray County                   ,Minnesota,2019,3.8
Morrison County                 ,Minnesota,2019,4.8
Steele County                   ,Minnesota,2019,3.1
