STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Oklahoma,1765.0,32373.0,34138.0,182137.0,22172.0,204309.0,226480.0,51369.0,11022.0,62390.0,73412.0,116662.0,19233.0,135895.0,155128.0,499880.0,33228.0,533108.0,566336.0,20.7,2.5,23.2,25.7,21.5,4.65,26.1,30.8,18.5,3.05,21.5,24.6,15.1,1.0,16.1,17.1,880432.0,238643.0,631174.0,3321130.0,1998
Oregon,1786.0,38773.0,40559.0,119946.0,22051.0,141997.0,164047.0,36718.0,9103.0,45821.0,54924.0,70932.0,20060.0,90992.0,111052.0,367763.0,33190.0,400952.0,434142.0,14.2,2.65,16.9,19.5,16.4,4.05,20.4,24.5,11.6,3.3,14.9,18.2,11.1,1.0,12.1,13.1,841888.0,224082.0,609630.0,3314203.0,1998
Pennsylvania,1349.0,39116.0,40464.0,422182.0,55761.0,477943.0,533704.0,105436.0,22465.0,127901.0,150366.0,276195.0,50090.0,326285.0,376375.0,1189715.0,87727.0,1277442.0,1365169.0,14.6,1.95,16.5,18.5,14.4,3.1,17.5,20.6,13.1,2.35,15.4,17.8,10.0,0.75,10.7,11.5,2892577.0,730662.0,2113600.0,11913867.0,1998
Rhode Island,1911.0,39907.0,41818.0,34162.0,5865.0,40026.0,45891.0,8105.0,2502.0,10607.0,13108.0,22477.0,5322.0,27799.0,33121.0,94733.0,9099.0,103831.0,112930.0,13.9,2.4,16.3,18.7,12.9,3.95,16.8,20.8,12.6,3.0,15.6,18.6,9.7,0.95,10.6,11.6,244990.0,62970.0,178403.0,977299.0,1998
South Carolina,1788.0,33465.0,35253.0,185672.0,24263.0,209935.0,234197.0,51110.0,11024.0,62134.0,73158.0,119160.0,21666.0,140826.0,162492.0,512754.0,37373.0,550127.0,587500.0,19.1,2.45,21.5,24.0,19.5,4.25,23.8,28.0,17.1,3.15,20.2,23.4,13.3,0.95,14.3,15.2,974650.0,261507.0,695768.0,3856258.0,1998
South Dakota,1680.0,33267.0,34947.0,29862.0,5767.0,35629.0,41396.0,9486.0,2343.0,11829.0,14172.0,17254.0,5152.0,22406.0,27558.0,86104.0,8275.0,94379.0,102654.0,14.8,2.8,17.6,20.4,18.5,4.55,23.1,27.6,11.5,3.45,15.0,18.4,11.9,1.1,13.0,14.1,202455.0,51318.0,149691.0,725671.0,1998
Tennessee,1677.0,34188.0,35865.0,222164.0,32683.0,254847.0,287529.0,76135.0,15520.0,91654.0,107174.0,125938.0,28379.0,154317.0,182696.0,661403.0,54030.0,715433.0,769463.0,16.1,2.4,18.5,20.9,20.0,4.1,24.1,28.2,12.9,2.9,15.8,18.7,12.1,1.0,13.1,14.1,1377508.0,380544.0,977844.0,5462020.0,1998
Texas,1235.0,35449.0,36684.0,1193514.0,104972.0,1298486.0,1403458.0,379049.0,54020.0,433068.0,487088.0,742889.0,89284.0,832173.0,921457.0,2943891.0,158681.0,3102571.0,3261252.0,20.6,1.8,22.4,24.2,22.5,3.25,25.7,29.0,18.2,2.2,20.4,22.6,14.8,0.8,15.6,16.4,5806350.0,1681888.0,4073757.0,19908844.0,1998
Utah,2014.0,41380.0,43393.0,75098.0,16918.0,92016.0,108934.0,25209.0,8496.0,33705.0,42200.0,39710.0,14463.0,54173.0,68636.0,190363.0,22881.0,213244.0,236125.0,10.3,2.35,12.7,15.0,11.5,3.9,15.4,19.3,7.9,2.85,10.7,13.6,8.9,1.05,10.0,11.0,727379.0,218349.0,505352.0,2141771.0,1998
Vermont,1852.0,37947.0,39799.0,14275.0,3638.0,17913.0,21551.0,3765.0,1495.0,5260.0,6754.0,7542.0,3284.0,10826.0,14110.0,50820.0,5727.0,56547.0,62274.0,10.0,2.55,12.6,15.1,11.5,4.6,16.1,20.7,7.2,3.15,10.3,13.5,8.6,1.0,9.6,10.6,142269.0,32695.0,104692.0,589133.0,1998
Virginia,1846.0,42622.0,44467.0,197756.0,42183.0,239939.0,282121.0,50135.0,17895.0,68030.0,85925.0,122976.0,37773.0,160749.0,198522.0,632952.0,63254.0,696205.0,759459.0,11.7,2.5,14.2,16.7,10.8,3.9,14.7,18.6,10.2,3.1,13.3,16.4,9.3,0.95,10.2,11.2,1692705.0,462179.0,1209762.0,6802581.0,1998
Washington,2068.0,44307.0,46375.0,171280.0,35278.0,206558.0,241836.0,41699.0,15432.0,57131.0,72562.0,108337.0,31313.0,139650.0,170963.0,516169.0,53661.0,569830.0,623490.0,11.4,2.35,13.7,16.1,10.7,4.0,14.7,18.7,9.8,2.85,12.7,15.5,9.0,0.95,9.9,10.9,1505300.0,389017.0,1103519.0,5727098.0,1998
West Virginia,1722.0,28460.0,30181.0,89225.0,10347.0,99572.0,109919.0,25881.0,4879.0,30760.0,35639.0,57045.0,9242.0,66287.0,75529.0,283890.0,19760.0,303649.0,323409.0,21.7,2.5,24.2,26.7,24.9,4.7,29.6,34.3,18.7,3.0,21.7,24.7,15.7,1.1,16.8,17.9,412017.0,103892.0,305357.0,1804828.0,1998
Wisconsin,1883.0,42169.0,44052.0,154689.0,33772.0,188461.0,222233.0,41080.0,14974.0,56054.0,71028.0,89961.0,29854.0,119815.0,149669.0,413006.0,49803.0,462809.0,512611.0,11.1,2.45,13.6,16.0,11.7,4.25,16.0,20.2,8.9,2.9,11.8,14.7,7.9,0.95,8.9,9.8,1389638.0,351204.0,1014795.0,5228679.0,1998
Wyoming,1750.0,35868.0,37617.0,16668.0,3089.0,19757.0,22846.0,5351.0,1335.0,6686.0,8021.0,8875.0,2789.0,11664.0,14453.0,49480.0,4806.0,54286.0,59092.0,13.0,2.4,15.4,17.8,17.5,4.4,21.9,26.3,9.6,3.0,12.6,15.6,10.4,1.0,11.4,12.4,128085.0,30552.0,92700.0,477428.0,1998
Alabama,1469.0,33840.0,35309.0,220295.0,28117.0,248412.0,276528.0,66230.0,14099.0,80329.0,94427.0,137117.0,24296.0,161413.0,185709.0,625251.0,42217.0,667468.0,709685.0,19.7,2.5,22.2,24.7,22.6,4.8,27.4,32.2,17.0,3.05,20.1,23.1,14.3,0.95,15.3,16.2,1120718.0,293558.0,804291.0,4368014.0,1999
Alaska,1605.0,49133.0,50738.0,16621.0,4555.0,21176.0,25730.0,3631.0,1994.0,5625.0,7619.0,10154.0,3983.0,14137.0,18120.0,47918.0,6046.0,53963.0,60009.0,8.8,2.4,11.2,13.6,7.7,4.3,12.0,16.3,7.3,2.85,10.1,13.0,7.8,0.95,8.8,9.7,188567.0,46880.0,139424.0,616255.0,1999
Arizona,1297.0,38642.0,39939.0,217690.0,33471.0,251160.0,284631.0,60366.0,15650.0,76016.0,91666.0,130985.0,30002.0,160987.0,190989.0,595693.0,47352.0,643045.0,690397.0,16.3,2.5,18.8,21.3,16.0,4.15,20.2,24.3,14.1,3.2,17.3,20.5,11.8,0.95,12.8,13.7,1338513.0,377011.0,929755.0,5027482.0,1999
Arkansas,1369.0,31217.0,32586.0,128998.0,17822.0,146820.0,164642.0,39357.0,8269.0,47626.0,55895.0,78585.0,15430.0,94015.0,109445.0,369718.0,26135.0,395852.0,421987.0,19.2,2.65,21.8,24.5,21.9,4.6,26.5,31.1,16.2,3.2,19.4,22.6,14.1,1.0,15.1,16.1,672733.0,179878.0,484875.0,2617823.0,1999
California,1111.0,43924.0,45035.0,1712818.0,141474.0,1854292.0,1995766.0,464391.0,63180.0,527571.0,590751.0,1148688.0,126028.0,1274716.0,1400744.0,4349021.0,213068.0,4562089.0,4775157.0,18.7,1.55,20.2,21.8,19.0,2.6,21.6,24.2,17.3,1.9,19.2,21.1,13.1,0.6,13.7,14.3,9160864.0,2444897.0,6625284.0,33284948.0,1999
Colorado,1491.0,45557.0,47048.0,106336.0,24318.0,130654.0,154972.0,25012.0,11658.0,36670.0,48328.0,65205.0,20936.0,86141.0,107077.0,339170.0,36032.0,375202.0,411233.0,9.8,2.2,12.0,14.2,8.4,3.9,12.3,16.2,8.4,2.7,11.1,13.8,8.0,0.85,8.9,9.7,1090250.0,297502.0,775216.0,4224816.0,1999
Connecticut,1773.0,51706.0,53479.0,65833.0,19445.0,85277.0,104722.0,10455.0,9466.0,19921.0,29387.0,43762.0,16706.0,60468.0,77174.0,219893.0,29989.0,249882.0,279871.0,7.9,2.35,10.2,12.6,4.7,4.25,9.0,13.2,7.2,2.8,10.0,12.8,6.6,0.9,7.5,8.4,833621.0,221937.0,604538.0,3346516.0,1999
Delaware,1470.0,45201.0,46670.0,21903.0,4834.0,26736.0,31570.0,5729.0,2197.0,7926.0,10122.0,13469.0,4288.0,17757.0,22045.0,64795.0,7093.0,71888.0,78980.0,11.5,2.5,14.0,16.5,11.3,4.35,15.7,20.0,9.6,3.1,12.7,15.8,8.5,0.9,9.4,10.3,191046.0,50544.0,139782.0,765873.0,1999
Florida,1068.0,36309.0,37377.0,602443.0,67012.0,669455.0,736466.0,152326.0,31539.0,183865.0,215404.0,389047.0,57929.0,446976.0,504905.0,1830183.0,109362.0,1939545.0,2048906.0,16.6,1.85,18.5,20.3,16.2,3.35,19.5,22.9,15.1,2.25,17.3,19.6,11.7,0.7,12.4,13.1,3625467.0,942071.0,2577387.0,15690191.0,1999
Georgia,1379.0,39910.0,41289.0,342170.0,50654.0,392824.0,443478.0,92151.0,24962.0,117113.0,142075.0,218579.0,43522.0,262101.0,305623.0,938890.0,74972.0,1013862.0,1088834.0,15.9,2.4,18.3,20.7,15.8,4.25,20.0,24.3,14.0,2.8,16.8,19.6,11.7,0.95,12.7,13.6,2145538.0,584339.0,1555980.0,8008176.0,1999
Hawaii,2088.0,44755.0,46843.0,35210.0,7440.0,42650.0,50089.0,9940.0,3588.0,13527.0,17115.0,20583.0,6348.0,26931.0,33279.0,113364.0,11131.0,124495.0,135626.0,11.9,2.55,14.5,17.0,12.9,4.65,17.6,22.2,9.5,2.95,12.5,15.4,9.5,0.95,10.5,11.4,294830.0,76929.0,215536.0,1187891.0,1999
